# ENTITIES
entity_name,source_id,graph_data
Aen Seidhe,chunk-ab50db7831ff78f14b7394804417dfe8<SEP>chunk-ce9743c2187ac5d955455aadd5aa5810,"{'entity_id': 'Aen Seidhe', 'entity_type': 'category', 'description': 'Aen Seidhe refers to a group of elves in the narrative, known for their grace and often antagonistic attitude towards humans.<SEP>Aen Seidhe refers to a group of elves in this narrative, characterized by their grace and sometimes hostile attitude towards humans.<SEP>Aen Seidhe refers to the old bloodline of elves, implying a connection to their culture and heritage.<SEP>Aen Seidhe refers to the pure-blooded lineage of elves, indicating a connection to their culture and heritage.', 'source_id': 'chunk-ab50db7831ff78f14b7394804417dfe8<SEP>chunk-ce9743c2187ac5d955455aadd5aa5810'}"
Aeschna,chunk-afbaa5f925e32dfcfbb452d0f7772e4a,"{'entity_id': 'Aeschna', 'entity_type': 'category', 'description': 'Aeschna refers to a type of monstrous entity, classified among the creatures encountered by Witchers.', 'source_id': 'chunk-afbaa5f925e32dfcfbb452d0f7772e4a'}"
Agate,chunk-5d52b7a4b8158af7be97226084c34d25,"{'entity_id': 'Agate', 'entity_type': 'category', 'description': ""Agate is another type of gemstone included in the Witcher's payment for the contract on the Wyzim Striga."", 'source_id': 'chunk-5d52b7a4b8158af7be97226084c34d25'}"
Agreement,chunk-efe8f99e3c3bad032ff20d7e18116b1d,"{'entity_id': 'Agreement', 'entity_type': 'event', 'description': 'The agreement between Calanthe and Geralt is pivotal, as it outlines the terms of their interaction and mutual respect, influencing their relationship.', 'source_id': 'chunk-efe8f99e3c3bad032ff20d7e18116b1d'}"
Agriculture,chunk-381afa15a6f595bcfca99c8a81ed8ab6,"{'entity_id': 'Agriculture', 'entity_type': 'category', 'description': 'Agriculture is presented as a vital aspect of civilization, fundamental for providing food, clothes, and other necessities for society.', 'source_id': 'chunk-381afa15a6f595bcfca99c8a81ed8ab6'}"
Air Creatures,chunk-915c45e91a722f69c97053a905db00f8,"{'entity_id': 'Air Creatures', 'entity_type': 'category', 'description': 'Air creatures refer to genies of air, classified as djinns, which are among the types of genies described.', 'source_id': 'chunk-915c45e91a722f69c97053a905db00f8'}"
Akerspaark,chunk-676991fd282ea4d44756236e9477b8e1,"{'entity_id': 'Akerspaark', 'entity_type': 'person', 'description': ""Akerspaark is the father of Duny, who wanted to hide the curse affecting his family, showing concern for the royal dynasty's future."", 'source_id': 'chunk-676991fd282ea4d44756236e9477b8e1'}"
Alchemists,chunk-b80535e4b2ceef8b1c13931aa0648a50,"{'entity_id': 'Alchemists', 'entity_type': 'category', 'description': 'Alchemists are individuals known for creating effective poisons that eliminated traditional ratcatchers, thereby transitioning societal roles.', 'source_id': 'chunk-b80535e4b2ceef8b1c13931aa0648a50'}"
Alder Tree,chunk-81294f72ca80e8660cf7ae69a105ed2c,"{'entity_id': 'Alder Tree', 'entity_type': 'geo', 'description': 'The alder tree is identified as a specific tree near which the girl stands, contributing to the forest atmosphere.', 'source_id': 'chunk-81294f72ca80e8660cf7ae69a105ed2c'}"
Alderman,chunk-a78a4a7bd60fcac9897f86c390290248<SEP>chunk-ae68134675ba43988b6ac7249dca19a6<SEP>chunk-bacec216145a639a08065a1e3d44eca4<SEP>chunk-2d71cb2613cf4f72096c02fcd6f6379d<SEP>chunk-a048ad3d8a4ffdade47255408d2e0b7c<SEP>chunk-87fc5083f9dfc7d3b8fef3159ac0a4ee<SEP>chunk-8fce76f055df032c22b1a35b20dbde10<SEP>chunk-1403fa5d5c95936735498d32dae07de5<SEP>chunk-d966334cc58a9afe31dd4be9f37c48cc<SEP>chunk-f79d16c0eb7331a798cfcd0c2a30cbc0<SEP>chunk-98f9da24cc564b44e5448f97fbfe4171<SEP>chunk-d1851f07a65be628cd189e4a52ae7671,"{'entity_id': 'Alderman', 'entity_type': 'person', 'description': ""The Alderman is a character in the story who appears to have some authority and is involved in the conversation with the Witcher and Caldemeyn.<SEP>The Alderman is a figure of authority in Blaviken, and Renfri indicates she is staying at his place, implying an alliance.<SEP>The Alderman is a local authority figure mentioned by Nettly, suggesting a social structure within the communities referenced.<SEP>The Alderman is a local official who ponders over the presence of various creatures troubling the peasants, reflecting his role in community governance.<SEP>The Alderman is a local official who reflects on the presence of various mythical creatures causing issues in his jurisdiction.<SEP>The Alderman is an authority figure in Blaviken whose position is pivotal in the local governance and response to conflict.<SEP>The Alderman is typically an elected official or leader within a community, holding authority over local matters and governance.<SEP>The Alderman is a local authority figure responsible for overseeing community matters and financial arrangements regarding local creatures like the Troll.<SEP>The Alderman is a local authority figure who is consulted about the toll for a troll that repairs a bridge.<SEP>The alderman is a local authority figure who is referenced in the context of local laws and protection.<SEP>The alderman is a local authority figure, known for his vocal opinions and management of village affairs, particularly in relation to bribes and governance.<SEP>The alderman is a village official, described as podgy and red with rage, who confronts Geralt and an angry villager.<SEP>The Alderman is mentioned as someone who has ordered Geralt's actions, reflecting the local governance in Blaviken.<SEP>The Alderman is a local official who expresses concern about the behavior of the armed visitors and seeks to maintain order.<SEP>The alderman represents the authority figure trying to maintain order and prevent violence related to Renfri's actions."", 'source_id': 'chunk-a78a4a7bd60fcac9897f86c390290248<SEP>chunk-ae68134675ba43988b6ac7249dca19a6<SEP>chunk-bacec216145a639a08065a1e3d44eca4<SEP>chunk-2d71cb2613cf4f72096c02fcd6f6379d<SEP>chunk-a048ad3d8a4ffdade47255408d2e0b7c<SEP>chunk-87fc5083f9dfc7d3b8fef3159ac0a4ee<SEP>chunk-8fce76f055df032c22b1a35b20dbde10<SEP>chunk-1403fa5d5c95936735498d32dae07de5<SEP>chunk-d966334cc58a9afe31dd4be9f37c48cc<SEP>chunk-f79d16c0eb7331a798cfcd0c2a30cbc0<SEP>chunk-98f9da24cc564b44e5448f97fbfe4171<SEP>chunk-d1851f07a65be628cd189e4a52ae7671'}"
Alderman's House,chunk-7466ff81a620d5c7d3f843f68efbc9f1,"{'entity_id': ""Alderman's House"", 'entity_type': 'geo', 'description': ""The Alderman's House is a location mentioned where magical beings interact and trade, serving as a setting in the narrative.<SEP>The Alderman's House is a location where significant events are referenced, specifically related to trade and magical beings."", 'source_id': 'chunk-7466ff81a620d5c7d3f843f68efbc9f1'}"
Alderperson,chunk-87fc5083f9dfc7d3b8fef3159ac0a4ee,"{'entity_id': 'Alderperson', 'entity_type': 'organization', 'description': 'The alderman represents local governance in the village and is involved in community decisions, emphasizing his authority.', 'source_id': 'chunk-87fc5083f9dfc7d3b8fef3159ac0a4ee'}"
Alehouse,chunk-f79d16c0eb7331a798cfcd0c2a30cbc0,"{'entity_id': 'Alehouse', 'source_id': 'chunk-f79d16c0eb7331a798cfcd0c2a30cbc0', 'description': 'Geralt enters the alehouse where the alderman is present, suggesting possible community disputes and gatherings.', 'entity_type': 'UNKNOWN'}"
Algae,chunk-a7f563ba76dd98ac816742360df64358,"{'entity_id': 'Algae', 'entity_type': 'category', 'description': 'Algae is a living organism found on the ropes and net, indicating the ecosystem present in the wreck site.', 'source_id': 'chunk-a7f563ba76dd98ac816742360df64358'}"
Allenker Bay,chunk-c576270d3aa373506eddedb43fef9233,"{'entity_id': 'Allenker Bay', 'entity_type': 'geo', 'description': 'Allenker Bay is a location mentioned as a site of punishment for a fool, suggesting a place of peril or consequence.<SEP>Allenker Bay is a location mentioned as a site where past grievances were settled, indicating a place of consequence.', 'source_id': 'chunk-c576270d3aa373506eddedb43fef9233'}"
Alliance with Skellige,chunk-8aa18bba5f0d2ed6da633cddff8c66ba,"{'entity_id': 'Alliance with Skellige', 'entity_type': 'event', 'description': ""The alliance with Skellige refers to the political strategy involving Queen Calanthe's intention to marry Princess Pavetta to a suitor from Skellige."", 'source_id': 'chunk-8aa18bba5f0d2ed6da633cddff8c66ba'}"
Alpor,chunk-ac1e295fb938bffe137390524b908a6a,"{'entity_id': 'Alpor', 'entity_type': 'category', 'description': 'Alpor is a classification of a vampire-like creature, presumably with specific characteristics distinct from standard vampires.', 'source_id': 'chunk-ac1e295fb938bffe137390524b908a6a'}"
Amphisboena,chunk-777da4976f6c455464fc736c9390e17a,"{'entity_id': 'Amphisboena', 'entity_type': 'event', 'description': ""The amphisboena incident refers to Geralt's previous task of killing the creature that was causing terror in the Kovir region.<SEP>The amphisboena incident refers to Geralt's task of killing a terrorizing creature in the Kovir region."", 'source_id': 'chunk-777da4976f6c455464fc736c9390e17a'}"
Amphisboenas,chunk-d0c9cf4f40bdc7f8882eabfccca312ff,"{'entity_id': 'Amphisboenas', 'entity_type': 'category', 'description': 'Amphisboenas are mythical creatures that are referenced in the context of dwelling in virgin forests and inaccessible mountains, highlighting their elusive nature.', 'source_id': 'chunk-d0c9cf4f40bdc7f8882eabfccca312ff'}"
Amphora,chunk-a7f563ba76dd98ac816742360df64358,"{'entity_id': 'Amphora', 'entity_type': 'category', 'description': 'The amphora is an old, chipped stoneware jar discovered by Dandilion, which he insists has magical properties.', 'source_id': 'chunk-a7f563ba76dd98ac816742360df64358'}"
An Out-of-the-Way Kingdom,chunk-03d09cc4813601e11dad1f9e6cb58ec0,"{'entity_id': 'An Out-of-the-Way Kingdom', 'entity_type': 'geo', 'description': 'An out-of-the-way kingdom in the east is where a prince took Shrike after reversing her curse, indicating its geographical significance in the narrative.', 'source_id': 'chunk-03d09cc4813601e11dad1f9e6cb58ec0'}"
Anaemia,chunk-361f8979f4e22dd64d88fa3fe465ee89,"{'entity_id': 'Anaemia', 'entity_type': 'category', 'description': 'Anaemia is mentioned as a condition affecting the health of individuals during a conflict, contributing to the depiction of suffering and mortality.', 'source_id': 'chunk-361f8979f4e22dd64d88fa3fe465ee89'}"
Andrzej Sapkowski,chunk-e0a691bc00e425a1f6d26e08e7d53707,"{'entity_id': 'Andrzej Sapkowski', 'entity_type': 'person', 'description': 'Andrzej Sapkowski is a Polish author known for creating the Witcher series in which Geralt is a central character.', 'source_id': 'chunk-e0a691bc00e425a1f6d26e08e7d53707'}"
Angelica Tincture,chunk-fdf111535f66a790343f97be639cf063,"{'entity_id': 'Angelica Tincture', 'entity_type': 'category', 'description': ""Angelica Tincture is used in the scene to cleanse Geralt's face, showing the elements of witchcraft and potion-making in the story."", 'source_id': 'chunk-fdf111535f66a790343f97be639cf063'}"
Angren,chunk-03d09cc4813601e11dad1f9e6cb58ec0,"{'entity_id': 'Angren', 'entity_type': 'geo', 'description': 'Angren is a place where Geralt hides from Shrike but fails to evade her presence.', 'source_id': 'chunk-03d09cc4813601e11dad1f9e6cb58ec0'}"
Anti-Human Conspiracy,chunk-d9a6fb8f628372b1fa358fcf0b8024cc,"{'entity_id': 'Anti-Human Conspiracy', 'entity_type': 'category', 'description': 'An accusation against Geralt, indicating the serious nature of the charges being discussed.', 'source_id': 'chunk-d9a6fb8f628372b1fa358fcf0b8024cc'}"
Apple,chunk-e4e5a0b1d7af2e593fde655e47d72949,"{'entity_id': 'Apple', 'entity_type': 'geo', 'description': 'The apple is a symbol of the orchard, which is a setting in the narrative where Dandelion picks apples.', 'source_id': 'chunk-e4e5a0b1d7af2e593fde655e47d72949'}"
Apple Juice,chunk-2cff0187134a4af55a7816d1a7d1d8aa<SEP>chunk-9f41e28cae269a5089b5f341c0808320,"{'entity_id': 'Apple Juice', 'entity_type': 'category', 'description': 'Apple juice is a beverage that becomes a focal point in the exchange between the characters, indicating a need for hydration or refreshment.<SEP>Apple juice is mentioned as a thoughtful gesture from Geralt to Yennefer, symbolizing care and consideration in their interaction.<SEP>Apple juice is referenced as a thoughtful gift from Geralt to Yennefer, winning her over and leading to her willingness to help.', 'source_id': 'chunk-2cff0187134a4af55a7816d1a7d1d8aa<SEP>chunk-9f41e28cae269a5089b5f341c0808320'}"
Arcsea,chunk-dfd003877b335872f22fa5772b95d64c<SEP>chunk-03d09cc4813601e11dad1f9e6cb58ec0,"{'entity_id': 'Arcsea', 'entity_type': 'geo', 'description': 'Arcsea is referenced as a region where laws concerning revenge and common banditry are enforced.<SEP>Arcsea is the location where Geralt has lived peacefully for a year before being tracked down by Shrike.', 'source_id': 'chunk-dfd003877b335872f22fa5772b95d64c<SEP>chunk-03d09cc4813601e11dad1f9e6cb58ec0'}"
Arenaria,chunk-184e0dc515423a3d5a490e9c9225ea42,"{'entity_id': 'Arenaria', 'entity_type': 'category', 'description': ""Arenaria is a plant with red berries noted by Geralt, contributing to the diversity of the cave's flora and possibly to potions."", 'source_id': 'chunk-184e0dc515423a3d5a490e9c9225ea42'}"
Aridea,chunk-be389a19e1bf9e0f3260131445a960de<SEP>chunk-6aec83d72a82c6b03d2a354c2bb8b489<SEP>chunk-d51729c962c8e6ff62744422802b4112<SEP>chunk-07051e900d168060f090adbe61d31ee3,"{'entity_id': 'Aridea', 'entity_type': 'person', 'description': ""Aridea is a central character who tracks down the young one, later known as Shrike, and experiences significant events affecting her fate.<SEP>Aridea is mentioned as a character associated with Stregobor, apparently playing a role in orchestrating the threats against Renfri.<SEP>Aridea is mentioned in connection with Stregobor, acting as an accomplice in the dark plot against Renfri.<SEP>Aridea is the wife of Fredefalk, a wise woman concerned with the prophecy foretold by Nehalenia's mirror regarding her family's future.<SEP>Aridea is a character mentioned in connection with Stregobor, noted for being an adversary to Renfri who ultimately died of natural causes."", 'source_id': 'chunk-be389a19e1bf9e0f3260131445a960de<SEP>chunk-6aec83d72a82c6b03d2a354c2bb8b489<SEP>chunk-d51729c962c8e6ff62744422802b4112<SEP>chunk-07051e900d168060f090adbe61d31ee3'}"
Aridea's Children,chunk-72d34e16d3c5cec7125c8b1a898cb69f,"{'entity_id': ""Aridea's Children"", 'entity_type': 'person', 'description': ""Aridea's children are portrayed as illegitimate heirs to the throne, affecting Renfri's claim and identity."", 'source_id': 'chunk-72d34e16d3c5cec7125c8b1a898cb69f'}"
Aridea's Death,chunk-6aec83d72a82c6b03d2a354c2bb8b489,"{'entity_id': ""Aridea's Death"", 'entity_type': 'event', 'description': ""Aridea's death represents a key event in the narrative, highlighting the consequences of conflicts between characters."", 'source_id': 'chunk-6aec83d72a82c6b03d2a354c2bb8b489'}"
Armour,chunk-f1c4f49c22efac96d7a35488eb90f76b,"{'entity_id': 'Armour', 'entity_type': 'equipment', 'description': 'Armour is protective gear that Duny is wearing, which he requests help to remove due to injury.', 'source_id': 'chunk-f1c4f49c22efac96d7a35488eb90f76b'}"
Armour of Iron Sheets and Leather,chunk-054f420eb721e5be8b447177df704b75,"{'entity_id': 'Armour of Iron Sheets and Leather', 'entity_type': 'equipment', 'description': 'The armour worn by Urcheon of Erlenwald is described as a protective outfit made of iron and leather, symbolizing his military readiness and status.', 'source_id': 'chunk-054f420eb721e5be8b447177df704b75'}"
Armourer,chunk-6f1d85d9d188f378a6a89b47d7faea0d,"{'entity_id': 'Armourer', 'entity_type': 'person', 'description': 'The armourer is a character who died instantly under mysterious circumstances while riding through the forest.', 'source_id': 'chunk-6f1d85d9d188f378a6a89b47d7faea0d'}"
Armourers Guild,chunk-683173d26403f5a0586d6dc9525f38ed,"{'entity_id': 'Armourers Guild', 'entity_type': 'organization', 'description': 'The Armourers Guild is represented by a ring found on the man, indicating his affiliation with this organization that specializes in armor.<SEP>The Armourers Guild is represented by a ring found on the man, indicating his affiliation with this organization, which specializes in weapon and armor crafting.', 'source_id': 'chunk-683173d26403f5a0586d6dc9525f38ed'}"
Arrowheads,chunk-b6c4ea6059977c52de3911dc567dba0c,"{'entity_id': 'Arrowheads', 'entity_type': 'category', 'description': 'Arrowheads are pointed projectiles used by archers, present in the scene where the witcher examines them.', 'source_id': 'chunk-b6c4ea6059977c52de3911dc567dba0c'}"
Aspen,chunk-9b43b0fa568af8179a93b7f6544e402f,"{'entity_id': 'Aspen', 'entity_type': 'category', 'description': 'Aspen is additionally noted as a plant to be burned in the fireplace, contributing to the atmosphere of the chamber.', 'source_id': 'chunk-9b43b0fa568af8179a93b7f6544e402f'}"
Aspen Stake,chunk-2b696ed8675549e30237b63069eed453,"{'entity_id': 'Aspen Stake', 'entity_type': 'category', 'description': 'An aspen stake is referenced by Krepp as a precautionary measure suggesting distrust towards Yennefer.', 'source_id': 'chunk-2b696ed8675549e30237b63069eed453'}"
Assassins,chunk-6aec83d72a82c6b03d2a354c2bb8b489,"{'entity_id': 'Assassins', 'entity_type': 'category', 'description': 'Assassins are associated with the threats Renfri faces, symbolizing the dangers that follow her.', 'source_id': 'chunk-6aec83d72a82c6b03d2a354c2bb8b489'}"
Assengard,chunk-14a673028c0cd0f366fe8978a3515bab,"{'entity_id': 'Assengard', 'entity_type': 'geo', 'description': ""Assengard is a location from which Nivellen's father plundered a tin bath, indicative of a noble or wealthy setting.<SEP>Assengard is a significant location from which Nivellen's father took a tin bath, suggesting wealth and nobility."", 'source_id': 'chunk-14a673028c0cd0f366fe8978a3515bab'}"
Asylum,chunk-22ee1713eec8573103dd9b4eea1bf99d,"{'entity_id': 'Asylum', 'entity_type': 'event', 'description': 'The asylum granted to the sorceress by Beau Berrant allows her to operate in Rinde without legal repercussions.', 'source_id': 'chunk-22ee1713eec8573103dd9b4eea1bf99d'}"
Athlete,chunk-4e16345d94bcf2b38dbc69b93ff0a7dc,"{'entity_id': 'Athlete', 'entity_type': 'person', 'description': 'The athlete is described as sweaty and girded with belts, representing physical prowess and possibly competition.', 'source_id': 'chunk-4e16345d94bcf2b38dbc69b93ff0a7dc'}"
Atrophy,chunk-2c6754e10a09696492d8ffde0d6b3965,"{'entity_id': 'Atrophy', 'entity_type': 'category', 'description': 'Atrophy is a medical condition referenced in relation to the challenges of reversing physical changes in characters like Geralt and Yennefer.', 'source_id': 'chunk-2c6754e10a09696492d8ffde0d6b3965'}"
Attack,chunk-e543759d291b4f3d0a3e9879965b5c26,"{'entity_id': 'Attack', 'entity_type': 'event', 'description': 'The Attack refers to a violent incident that left the narrator feeling isolated and afraid of return threats.', 'source_id': 'chunk-e543759d291b4f3d0a3e9879965b5c26'}"
Attic Room,chunk-b8cc8f0e4b006d073a19ffc46c911f1e,"{'entity_id': 'Attic Room', 'entity_type': 'geo', 'description': 'The Attic Room serves as the setting for the confrontation between Geralt and The Girl, characterized by its darkness and intimacy.<SEP>The Attic Room serves as the setting for the confrontation between Geralt and The Girl.', 'source_id': 'chunk-b8cc8f0e4b006d073a19ffc46c911f1e'}"
Attre,chunk-eb48e1b7c88fd45acf0da33c56848a16,"{'entity_id': 'Attre', 'entity_type': 'geo', 'description': 'Attre is a duchy from which guests, including knights and a knight named Rainfarn, have come to the banquet.<SEP>Attre is a duchy from which several guests, including knights and Rainfarn, have arrived for the banquet.', 'source_id': 'chunk-eb48e1b7c88fd45acf0da33c56848a16'}"
Audoen,chunk-8aa2326afa53bc75a1c6e25762a7abc0<SEP>chunk-e1f97f19953a2d7a5a03ae7b0dd7b2d5<SEP>chunk-7a6725384be224d55347ca92644dbd63<SEP>chunk-d966334cc58a9afe31dd4be9f37c48cc,"{'entity_id': 'Audoen', 'entity_type': 'person', 'description': 'Audoen is described as a touchy king who has the power to execute people on a whim, indicating his authoritarian rule.<SEP>Audoen is portrayed as a volatile king, whose decisions can lead to severe consequences, such as executions based on whim.<SEP>Audoen is referred to as the king who has issued a decree protecting Renfri, highlighting his authority over the land.<SEP>Audoen is referenced as a character whose potential reaction to the situation would put pressure on the baron.<SEP>Audoen is referenced as an authority figure that poses a threat to those who challenge the status quo, especially regarding Renfri.', 'source_id': 'chunk-8aa2326afa53bc75a1c6e25762a7abc0<SEP>chunk-e1f97f19953a2d7a5a03ae7b0dd7b2d5<SEP>chunk-7a6725384be224d55347ca92644dbd63<SEP>chunk-d966334cc58a9afe31dd4be9f37c48cc'}"
Authorities,chunk-575a5e1241d53b55c2087a0f8bc20434<SEP>chunk-6502b7bad27e69a8814765f2335704f7,"{'entity_id': 'Authorities', 'entity_type': 'organization', 'description': ""The Authorities are implied as a governing body that is mentioned in the context of conflict with Geralt.<SEP>The Authorities are represented by the guards and the council members, serving as the enforcement body in the town's governance."", 'source_id': 'chunk-575a5e1241d53b55c2087a0f8bc20434<SEP>chunk-6502b7bad27e69a8814765f2335704f7'}"
Autopsy,chunk-c66100833eb4bb77965afe8022e9ecd4,"{'entity_id': 'Autopsy', 'entity_type': 'event', 'description': 'An autopsy is a post-mortem examination conducted to determine the cause of death and to inspect the internal organs, as referenced in the context of examining mutant corpses.', 'source_id': 'chunk-c66100833eb4bb77965afe8022e9ecd4'}"
Axe,chunk-178c5bcd7b49a480d846de4dc6be05c0,"{'entity_id': 'Axe', 'entity_type': 'category', 'description': 'An axe is a weapon carried by Dennis Cranmer, symbolizing his readiness to assert authority during the conflict.', 'source_id': 'chunk-178c5bcd7b49a480d846de4dc6be05c0'}"
Bald Guard,chunk-758ffb92ef3cb8db51d9bb9a64a313cb,"{'entity_id': 'Bald Guard', 'entity_type': 'person', 'description': 'The Bald Guard is an aggressive character who inflicts physical pain on Geralt, representing authority and brutality within the dungeon setting.', 'source_id': 'chunk-758ffb92ef3cb8db51d9bb9a64a313cb'}"
Ball-Thrower,chunk-8c27e4af371749ef084bb77970168e1a,"{'entity_id': 'Ball-Thrower', 'entity_type': 'category', 'description': 'The Ball-Thrower is a mythical creature, described in the etching, associated with evil and is implied to be a manifestation of the Devil.', 'source_id': 'chunk-8c27e4af371749ef084bb77970168e1a'}"
Ballad about Slow,chunk-545ce2612a2d2c0877b950c18aa6e197,"{'entity_id': 'Ballad about Slow', 'entity_type': 'category', 'description': 'The ballad about a farmhand named Slow is mentioned as part of the ancient wisdom that the characters reference and discuss.', 'source_id': 'chunk-545ce2612a2d2c0877b950c18aa6e197'}"
Ballads,chunk-4cdf735384154fa25f2385a111505afa,"{'entity_id': 'Ballads', 'entity_type': 'category', 'description': ""Ballads refer to a form of poetry that is central to Dandilion's identity as a poet, highlighting themes of love and art."", 'source_id': 'chunk-4cdf735384154fa25f2385a111505afa'}"
Ballroom,chunk-0ca2e971b25231227f681ab4697c2806,"{'entity_id': 'Ballroom', 'entity_type': 'geo', 'description': 'The ballroom is a lavish location filled with elegantly dressed guests where Yennefer and Geralt arrive unexpectedly after using the portal.<SEP>The ballroom is the location where Geralt and Yennefer end up after using the portal, filled with elegantly dressed guests.', 'source_id': 'chunk-0ca2e971b25231227f681ab4697c2806'}"
Balls,chunk-6d715f95a1ce842b7881419658c47be7,"{'entity_id': 'Balls', 'entity_type': 'category', 'description': 'Balls are mentioned as part of the offerings given to the devil, which Dandelion criticizes for being excessive.', 'source_id': 'chunk-6d715f95a1ce842b7881419658c47be7'}"
Bane,chunk-d1851f07a65be628cd189e4a52ae7671,"{'entity_id': 'Bane', 'entity_type': 'category', 'description': 'Bane is identified as a particularly fearsome creature that poses a significant threat to the community and children.', 'source_id': 'chunk-d1851f07a65be628cd189e4a52ae7671'}"
Banewart,chunk-5ac1804f3b6ad8700752227ceabf0341,"{'entity_id': 'Banewart', 'entity_type': 'category', 'description': 'Banewart is one of the ingredients in the mixture Geralt uses, which alters his appearance to aid in shadowy or dark situations.', 'source_id': 'chunk-5ac1804f3b6ad8700752227ceabf0341'}"
